Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.5 PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$19,272.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.0 PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$16,655.20"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.0 PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$17,457.60"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.0T || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$15,050.80"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 2.0T || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2000 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$15,853.20"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$17,152.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$17,954.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T LAUNCH EDITION || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$20,160.40"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T LAUNCH EDITION || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$20,924.40"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T Prestige Grapht || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$21,736.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T Prestige Grapht|| COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$22,500.00"
